"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","initial.conc","dilution.H2O","dilution.sample","final.conc","plate.order"
"19A0148","1",4,2020-07-01,22,TRUE,811.411,15,5,202.85275,7
"19A0379","1",4,2020-07-01,23,TRUE,980.468,15,5,245.117,88
"19A0289","1",4,2020-07-01,24,TRUE,708.697,14,6,212.6091,44
"19A0380","1",4,2020-07-02,1,TRUE,1162.078,16,4,232.4156,316
"19A0237","1",4,2020-07-02,2,TRUE,559.109,12,8,223.6436,332
"19A0146","1",4,2020-07-02,3,TRUE,1144.405,16,4,228.881,19
"19A0026","1",4,2020-07-02,4,TRUE,825.817,15,5,206.45425,221
"19A0027","1",4,2020-07-02,5,TRUE,1713.622,17,3,257.0433,212
"19A0089","1",4,2020-07-02,6,TRUE,1336.951,17,3,200.54265,234
"19A0414","1",4,2020-07-02,7,TRUE,1213.748,16,4,242.7496,232
"19A0084","1",4,2020-07-02,8,TRUE,1443.778,17,3,216.5667,266
"19A0011","1",4,2020-07-02,9,TRUE,1179.784,16,4,235.9568,417
"19A0138","1",4,2020-07-02,10,TRUE,735.981,14,6,220.7943,167
"19A0263","1",4,2020-07-02,11,TRUE,1450.523,17,3,217.57845,429
"19A0323","1",4,2020-07-02,12,TRUE,389.943,9,11,214.46865,250
"19A0300","1",4,2020-07-02,13,TRUE,599.845,13,7,209.94575,117
"19A0416","1",4,2020-07-02,14,TRUE,386.361,9,11,212.49855,436
"19A0245","1",4,2020-07-02,15,TRUE,435.684,10,10,217.842,369
"19A0096","2",4,2020-07-02,16,TRUE,1181.089,16,4,236.2178,315
"19A0248","1",4,2020-07-02,17,TRUE,668.474,14,6,200.5422,325
"19A0387","1",4,2020-07-02,18,TRUE,542.15,12,8,216.86,162
"19A0070","1",4,2020-07-02,19,TRUE,1141.963,16,4,228.3926,96
"19A0377","1",4,2020-07-02,20,TRUE,940.511,15,5,235.12775,432
"19A0243","1",4,2020-07-02,21,TRUE,484.089,11,9,217.84005,41
"19A0174","1",4,2020-07-02,22,TRUE,1687.265,17,3,253.08975,341
"19A0292","1",4,2020-07-02,24,TRUE,1122.074,16,4,224.4148,326
"19A0094","1",4,2020-07-05,2,TRUE,562.774,12,8,225.1096,142
"19A0128","1",4,2020-07-05,3,TRUE,356.639,8,12,213.9834,321
"19A0206","1",4,2020-07-05,5,TRUE,545.854,12,8,218.3416,260
"19A0384","1",4,2020-07-05,6,TRUE,724.237,14,6,217.2711,50
"19A0298","1",4,2020-07-05,7,TRUE,330.076,7,13,214.5494,177
"19A0019","1",4,2020-07-05,8,TRUE,1486.215,17,3,222.93225,373
"19A0376","1",4,2020-07-05,9,TRUE,376.397,9,11,207.01835,137
"19A0162","1",4,2020-07-05,10,TRUE,465.561,11,9,209.50245,132
"19A0226","1",4,2020-07-05,12,TRUE,1569.543,17,3,235.43145,218
"19A0034","1",5,2020-07-05,13,TRUE,661.091,13,7,231.38185,339
"19A0329","1",5,2020-07-05,14,TRUE,845.101,15,5,211.27525,297
"19A0388","1",5,2020-07-05,15,TRUE,894.895,15,5,223.72375,273
"19A0150","1",5,2020-07-05,16,TRUE,920.097,15,5,230.02425,309
"19A0018","1",5,2020-07-05,17,TRUE,1046.454,16,4,209.2908,139
"19A0223","1",5,2020-07-05,18,TRUE,764.519,14,6,229.3557,87
"19A0335","1",5,2020-07-05,19,TRUE,973.301,15,5,243.32525,173
"19A0064","1",5,2020-07-05,20,TRUE,665.271,13,7,232.84485,430
"19A0418","1",5,2020-07-05,21,TRUE,671.849,14,6,201.5547,175
"19A0319","1",5,2020-07-05,22,TRUE,490.609,11,9,220.77405,361
"19A0036","1",5,2020-07-05,23,TRUE,972.775,15,5,243.19375,278
"19A0023","1",5,2020-07-05,24,TRUE,829.624,15,5,207.406,225
"19A0280","1",5,2020-07-06,2,TRUE,738.398,14,6,221.5194,24
"19A0270","1",5,2020-07-06,3,TRUE,409.113,10,10,204.5565,348
"19A0461","1",5,2020-07-06,4,TRUE,521.355,12,8,208.542,294
"19A0373","1",5,2020-07-06,5,TRUE,895.574,15,5,223.8935,389
"19A0124","1",5,2020-07-06,6,TRUE,687.519,14,6,206.2557,264
"19A0375","1",5,2020-07-06,7,TRUE,684.989,14,6,205.4967,378
"19A0340","1",5,2020-07-06,8,TRUE,888.898,15,5,222.2245,331
"19A0135","1",5,2020-07-06,9,TRUE,753.954,14,6,226.1862,438
"19A0145","1",5,2020-07-06,10,TRUE,1024.27,16,4,204.854,391
"19A0213","1",5,2020-07-06,11,TRUE,897.537,15,5,224.38425,22
"19A0129","1",5,2020-07-06,12,TRUE,740.425,14,6,222.1275,258
"19A0161","1",5,2020-07-06,13,TRUE,343.104,8,12,205.8624,201
"19A0337","1",5,2020-07-06,14,TRUE,660.605,13,7,231.21175,60
"19A0341","1",5,2020-07-06,15,TRUE,470.688,11,9,211.8096,224
"19A0079","1",5,2020-07-06,17,TRUE,895.019,15,5,223.75475,94
"19A0357","1",5,2020-07-06,18,TRUE,603.258,13,7,211.1403,163
"19A0059","1",5,2020-07-06,19,TRUE,734.769,14,6,220.4307,103
"19A0252","1",5,2020-07-06,20,TRUE,609.888,13,7,213.4608,112
"19A0317","1",5,2020-07-06,21,TRUE,666.829,14,6,200.0487,408
"19A0043","1",5,2020-07-06,22,TRUE,1126.891,16,4,225.3782,405
"19A0306","1",5,2020-07-06,23,TRUE,766.822,14,6,230.0466,92
