"Sample.Name","done_box_number","Tube_number","Plate.Name","Well","dilution.H2O","dilution.sample"
"19A0354",6,2,"SC_RNA_03","E04",15,5
"19A0026",4,4,"SC_RNA_03","E05",15,5
"19A0437",6,9,"SC_RNA_03","E06",16,4
"19A0409",5,1,"SC_RNA_03","E07",14,6
"19A0040",2,5,"SC_RNA_03","E08",12,8
"19A0323",4,12,"SC_RNA_03","E09",9,11
"19A0129",5,12,"SC_RNA_03","E10",14,6
"19A0084",4,8,"SC_RNA_03","E11",17,3
"19A0388",5,15,"SC_RNA_03","E12",15,5
"19A0435",2,16,"SC_RNA_03","F01",15,5
"19A0108",2,22,"SC_RNA_03","F02",16,4
"19A0350",7,22,"SC_RNA_03","F03",15,5
"19A0058",5,23,"SC_RNA_03","F04",14,6
"19A0100",3,5,"SC_RNA_03","F05",17,3
"19A0201",6,6,"SC_RNA_03","F06",16,4
"19A0310",7,11,"SC_RNA_03","F07",8,12
"19A0320",1,7,"SC_RNA_03","F08",8,12
"19A0114",7,16,"SC_RNA_03","F09",16,4
"19A0297",7,1,"SC_RNA_03","F10",14,6
"Neg_Control",NA,NA,"SC_RNA_03","F11",NA,NA
"19A0304",7,15,"SC_RNA_03","F12",13,7
"19A0344",6,2,"SC_RNA_03","G01",8,12
"19A0345",1,6,"SC_RNA_03","G02",15,5
"19A0258",1,19,"SC_RNA_03","G03",18,2
"19A0255",2,15,"SC_RNA_03","G04",17,3
"19A0022",1,10,"SC_RNA_03","G05",17,3
"19A0107",7,20,"SC_RNA_03","G06",12,8
"19A0143",4,4,"SC_RNA_03","G07",13,7
"19A0051",5,5,"SC_RNA_03","G08",13,7
"19A0257",7,6,"SC_RNA_03","G09",0,20
"19A0206",4,5,"SC_RNA_03","G10",12,8
"19A0083",3,18,"SC_RNA_03","G11",16,4
"19A0242",3,1,"SC_RNA_03","G12",9,11
"19A0315",5,18,"SC_RNA_03","H01",13,7
"19A0444",6,11,"SC_RNA_03","H02",15,5
"19A0028",4,3,"SC_RNA_03","H03",12,8
"19A0442",5,24,"SC_RNA_03","H04",14,6
"19A0341",5,15,"SC_RNA_03","H05",11,9
"19A0414",4,7,"SC_RNA_03","H06",16,4
"Pos_Control",NA,NA,"SC_RNA_03","H07",NA,NA
"19A0290",5,4,"SC_RNA_03","H08",13,7
"19A0002",3,6,"SC_RNA_03","H09",14,6
"19A0218",1,4,"SC_RNA_03","H10",17,3
"19A0371",6,20,"SC_RNA_03","H11",16,4
"19A0029",6,4,"SC_RNA_03","H12",10,10
"19A0244",3,8,"SC_RNA_04","A01",9,11
"19A0132",1,1,"SC_RNA_04","A02",18,2
"19A0119",7,3,"SC_RNA_04","A03",10,10
"19A0251",2,17,"SC_RNA_04","A04",15,5
"19A0215",1,23,"SC_RNA_04","A05",18,2
"19A0016",4,5,"SC_RNA_04","A06",11,9
"19A0347",4,7,"SC_RNA_04","A07",15,5
"19A0170",5,15,"SC_RNA_04","A08",16,4
"19A0432",7,19,"SC_RNA_04","A09",12,8
"19A0277",2,14,"SC_RNA_04","A10",13,7
"19A0095",7,23,"SC_RNA_04","A11",15,5
"19A0319",5,22,"SC_RNA_04","A12",11,9
"19A0036",5,23,"SC_RNA_04","B01",15,5
"19A0087",6,7,"SC_RNA_04","B02",16,4
"Pos_Control",NA,NA,"SC_RNA_04","B03",NA,NA
"19A0054",1,14,"SC_RNA_04","B04",15,5
"19A0431",3,13,"SC_RNA_04","B05",15,5
"19A0096",4,16,"SC_RNA_04","B06",16,4
"19A0082",1,11,"SC_RNA_04","B07",18,2
"19A0105",3,1,"SC_RNA_04","B08",14,6
"19A0164",1,21,"SC_RNA_04","B09",17,3
"19A0075",1,1,"SC_RNA_04","B10",16,4
"19A0098",1,2,"SC_RNA_04","B11",17,3
"19A0241",6,6,"SC_RNA_04","B12",16,4
"19A0191",3,17,"SC_RNA_04","C01",13,7
"19A0142",4,24,"SC_RNA_04","C02",16,4
"19A0328",1,23,"SC_RNA_04","C03",15,5
"19A0342",6,14,"SC_RNA_04","C04",15,5
"19A0067",4,10,"SC_RNA_04","C05",16,4
"19A0380",4,1,"SC_RNA_04","C06",16,4
"19A0175",3,24,"SC_RNA_04","C07",14,6
"19A0340",5,8,"SC_RNA_04","C08",15,5
"19A0034",5,13,"SC_RNA_04","C09",13,7
"19A0250",3,15,"SC_RNA_04","C10",16,4
"19A0137",4,7,"SC_RNA_04","C11",16,4
"19A0233",7,4,"SC_RNA_04","C12",13,7
"19A0121",2,19,"SC_RNA_04","D01",15,5
"19A0065",4,21,"SC_RNA_04","D02",15,5
"19A0411",1,8,"SC_RNA_04","D03",18,2
"19A0266",1,16,"SC_RNA_04","D04",18,2
"19A0150",5,16,"SC_RNA_04","D05",15,5
"19A0199",6,5,"SC_RNA_04","D06",6,14
"BLANK",NA,NA,"SC_RNA_04","D07",NA,NA
"19A0237",4,2,"SC_RNA_04","D08",12,8
"19A0235",5,6,"SC_RNA_04","D09",14,6
"19A0270",5,3,"SC_RNA_04","D10",10,10
"19A0278",6,1,"SC_RNA_04","D11",7,13
"19A0284",3,23,"SC_RNA_04","D12",14,6
"19A0311",5,17,"SC_RNA_04","E01",14,6
"19A0144",5,10,"SC_RNA_04","E02",17,3
"19A0461",5,4,"SC_RNA_04","E03",12,8
"19A0288",6,3,"SC_RNA_04","E04",7,13
"19A0268",2,23,"SC_RNA_04","E05",16,4
"19A0180",1,17,"SC_RNA_04","E06",17,3
"19A0248",4,17,"SC_RNA_04","E07",14,6
"19A0332",3,2,"SC_RNA_04","E08",15,5
"19A0174",4,22,"SC_RNA_04","E09",17,3
"19A0228",3,11,"SC_RNA_04","E10",12,8
"19A0092",6,20,"SC_RNA_04","E11",13,7
