Year	Plot	Geno	Rep	Superblock	Block	Row	Col	Check	new	C	Anthesis	Silking	Planting	da	ds	a_s	GDD_a	GDD_s
2015	15A0144	Ia4189	1	2	2	61	11	99	1	Panel	8/3/15	8/4/15	5/29/15	66	67	-1	1824	1842
2015	15A0145	IL747b	1	2	2	60	12	99	1	Panel	7/29/15	7/29/15	5/29/15	61	61	0	1711	1711
2015	15A0146	IL777a	1	2	2	60	11	99	1	Panel	8/8/15	8/12/15	5/29/15	71	75	-4	1902	1979
2015	15A0147	Wh10034R	1	2	2	59	12	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0148	FILL	1	2	2	59	11	99	1	Check	7/24/15	7/24/15	5/29/15	56	56	0	1594	1594
2015	15A0149	Ia5261	1	2	2	58	12	99	1	Panel	7/30/15	7/30/15	5/29/15	62	62	0	1737	1737
2015	15A0150	P39M94	1	2	2	58	11	99	1	Panel	8/2/15	8/1/15	5/29/15	65	64	1	1801	1780
2015	15A0151	Ma32	1	2	2	57	12	99	1	Panel	7/27/15	7/25/15	5/29/15	59	57	2	1661	1614
2015	15A0152	Wh00050	1	2	2	57	11	99	1	Panel	8/4/15	8/1/15	5/29/15	67	64	3	1842	1780
2015	15A0153	We05411	1	2	2	56	12	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0154	MR14	1	2	2	56	11	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
2015	15A0155	EP58	1	2	3	55	12	99	1	Panel	8/1/15	8/2/15	5/29/15	64	65	-1	1780	1801
2015	15A0156	IL731a	1	2	3	55	11	99	1	Panel	8/14/15	8/16/15	5/29/15	77	79	-2	2018	2067
2015	15A0157	IL557a	1	2	3	54	12	99	1	Panel	8/1/15	8/2/15	5/29/15	64	65	-1	1780	1801
2015	15A0158	P51xRp1d	1	2	3	54	11	99	1	Panel	8/2/15	8/5/15	5/29/15	65	68	-3	1801	1859
2015	15A0159	IL318a	1	2	3	53	12	99	1	Panel	8/9/15	8/16/15	5/29/15	72	79	-7	1920	2067
2015	15A0160	P39	1	2	3	53	11	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0161	IL91j	1	2	3	52	12	99	1	Panel	8/2/15	8/1/15	5/29/15	65	64	1	1801	1780
2015	15A0162	Check3	1	2	3	52	11	3	0	Check	8/5/15	8/3/15	5/29/15	68	66	2	1859	1824
2015	15A0163	Wuh07469i	1	2	3	51	12	99	1	Panel	8/2/15	8/5/15	5/29/15	65	68	-3	1801	1859
2015	15A0164	2	1	2	3	51	11	99	1	Panel	7/31/15	8/2/15	5/29/15	63	65	-2	1760	1801
2015	15A0165	IL751a	1	2	3	50	12	99	1	Panel	8/11/15	8/14/15	5/29/15	74	77	-3	1963	2018
2015	15A0166	FILL	1	2	3	50	11	99	1	Check	7/25/15	7/25/15	5/29/15	57	57	0	1614	1614
2015	15A0167	IaEV3002	1	2	3	49	12	99	1	Panel	8/5/15	8/6/15	5/29/15	68	69	-1	1859	1874
2015	15A0168	Check2	1	2	3	49	11	2	0	Check	8/2/15	8/2/15	5/29/15	65	65	0	1801	1801
