Row ID,Germplasm,Number of Pollinations,First Harvest GDD,Second Harvest GDD
14A0578,IL44b,5,401.8,401.8
14A0579,MDM-1,6,420.3,420.3
14A0580,Check3,6,407.3,407.3
14A0581,NJ159,6,400.75,400.75
14A0582,S43,7,392.15,392.15
14A0583,Wh08091,5,435.8,420.3
14A0584,Wh08092,5,392.15,392.15
14A0585,IaCG4189,6,407.3,407.3
14A0586,Check2,5,471.7,471.7
14A0587,IL453b,6,407.3,407.3
14A0588,Ia59,6,388.05,388.05
14A0589,IL370a,5,435.8,435.8
14A0590,IL200e,5,412.3,412.3
14A0591,IL611a,9,412.3,412.3
14A0592,IL1171,6,420.6,420.6
14A0593,IL773a,7,418.3,418.3
14A0594,Wuh07177i,5,420.6,420.6
14A0595,Check2,5,423.2,423.2
14A0596,A686,5,404.8,404.8
14A0597,IL515a,6,418.3,418.3
14A0598,Sweet Buns,6,404.25,404.25
14A0599,P39,5,400,400
14A0600,Wh07020a,4,420.6,420.6
14A0601,SC6069,6,420.6,420.6
14A0602,IL323a,7,404.8,404.8
14A0603,471-U6,6,420.3,420.3
14A0604,C7e,6,420.6,420.6
14A0605,Ma5125,5,401.8,401.8
14A0606,IL731a,5,452.8,452.8
14A0607,I817,3,401.8,356.3
14A0608,Wh94053,6,400.75,400.75
14A0609,Wuh07422i,6,400.75,400.75
14A0610,Wuh07182i,7,400,400
14A0611,Wh09061,5,444.45,444.45
14A0612,Check3,10,407.3,407.3
14A0613,IL713a,6,420.3,420.3
14A0614,Wh09009,5,400.75,400.75
14A0615,Sweet Buns,6,400,400
14A0616,GTS1,6,401.8,401.8
14A0617,NJ618,10,498.25,498.25
14A0618,C40,5,455.3,435.8
14A0619,IL661a,12,407.3,407.3
14A0620,Wh10140R,8,444.25,444.25
14A0621,Wh10080,6,435.8,435.8
14A0622,SD277,7,420.6,420.6
14A0623,C27red,6,400.75,400.75
14A0624,Check2,6,437.2,409.5
14A0625,Wh03031,5,400.75,400.75
14A0626,Check3,12,407.3,407.3
14A0627,Wh00065,11,407.3,407.3
14A0628,C68R,6,404.8,404.8
14A0629,MDM-17,6,404.8,404.8
14A0630,If853,5,404.8,404.8
14A0631,SC1441,6,420.6,420.6
14A0632,Wh10173V,5,418.3,418.3
14A0633,Wh10049R,1,No Harvest Date Recorded,No Harvest Date Recorded
14A0634,Wh05066a,6,400.75,400.75
14A0635,IL437a,6,415.3,415.3
14A0636,Il677a,4,421.8,421.8
14A0637,P39,5,428.45,428.45
14A0638,C8p,8,498.25,498.25
14A0639,Wh05081a,6,407.3,407.3
14A0640,C5,5,452.8,452.8
14A0641,P39,10,412.3,412.3
14A0642,Wuh09150i,12,392.35,392.35
14A0643,Wh07061a,5,401.8,401.8
14A0644,P14,6,412.3,412.3
14A0645,Wuh07186i,6,392.15,392.15
14A0646,IL112t,5,444.45,412.3
14A0647,C31,6,400.75,400.75
14A0648,SD883,6,412.3,412.3
14A0649,Wh00051,6,420.6,420.6
14A0650,CTS62,6,421.8,421.8
14A0651,A684,6,425.3,425.3
14A0652,Check2,6,406.65,406.65
14A0653,IL451b,6,401.8,401.8
14A0654,Wuh07466i,3,392.15,392.15
14A0655,Check3,12,412.3,412.3
14A0656,DF14,6,404.8,404.8
14A0657,P39,6,412.3,412.3
14A0658,MDM-9,5,401.8,401.8
14A0659,SD829,2,392.15,392.15
14A0660,IaEV3002,6,404.8,404.8
14A0661,Wu00802,6,401.8,401.8
14A0662,B5765,5,407.3,407.3
14A0663,Ind.5817,5,400.75,400.75
14A0664,IL673a,5,425.3,425.3
14A0665,Ma2402,5,400,400
14A0666,Wh01001,6,420.6,420.6
14A0667,P51xRp1d,6,412.3,412.3
14A0668,Wh04036V,6,401.8,401.8
14A0669,Wuh09098i,5,400.75,400.75
14A0670,CTS6-1,5,415.3,415.3
14A0671,Wh93017,5,400.75,400.75
14A0672,Sweet Buns,7,400,400
14A0673,Check2,6,404.25,404.25
14A0674,P39b,5,407.3,407.3
14A0675,Sweet Buns,5,404.25,404.25
14A0676,IL11D,5,420.3,420.3
14A0677,C42,6,400.75,400.75
14A0678,Wh04020a,6,392.35,392.35
14A0679,IL648,6,407.3,407.3
14A0680,Wh09137R,6,392.15,392.15
14A0681,Check3,12,407.3,407.3
14A0682,C90,5,401.8,401.8
14A0683,S4,5,429,429
14A0684,Check3,12,407.3,407.3
14A0685,Ia453,6,401.8,401.8
14A0686,P39,5,401.8,401.8
14A0687,IL800a,7,412.3,412.3
14A0688,SD226,6,392,392
14A0689,Wh09075,5,425.3,425.3
14A0690,C23,6,407.3,407.3
14A0691,Wh96011,5,392,392
14A0692,C27,6,No Harvest Date Recorded,No Harvest Date Recorded
14A0693,Wuh98032,5,428.3,428.3
14A0694,IL543c,4,435.8,435.8
14A0695,C65,12,407.3,407.3
14A0696,P39LE-261:61,5,400.75,400.75
14A0697,Check2,5,No Harvest Date Recorded,No Harvest Date Recorded
14A0698,IL797a,4,418.3,418.3
14A0699,IL744a,6,415.3,415.3
14A0700,IL788a,6,428.3,428.3
14A0701,Ia5125,12,407.3,407.3
14A0702,Wuh08127i,6,420.6,420.6
14A0703,Wh08022,5,392.35,392.35
14A0704,Ia2132,6,407.3,407.3
14A0705,P51,5,420.6,420.6
14A0706,Check3,9,412.3,412.3
14A0707,IL27a,4,418.3,418.3
14A0708,Check2,8,No Harvest Date Recorded,No Harvest Date Recorded
14A0709,Ma32,6,392.35,392.35
14A0710,IaEV3004,7,418.3,418.3
14A0711,C1540,2,No Harvest Date Recorded,No Harvest Date Recorded
14A0712,P39a,6,407.3,407.3
14A0713,IL804a,3,452.8,411.5
14A0714,Wh05070a,5,420.3,420.3
14A0715,Wh09068,6,412.3,412.3
14A0716,IL772a,5,421.8,421.8
14A0717,Wuh09164i,4,400.75,400.75
14A0718,B5870,8,428.3,428.3
14A0719,P39M96,6,418.3,418.3
14A0720,Sweet Buns,5,400,400
14A0721,,5,404.8,404.8
14A0722,Wh1095407-2,5,388.05,388.05
14A0723,Wuh09144i,6,400.75,400.75
14A0724,MDM-23,6,418.3,418.3
14A0725,A632,5,420.3,420.3
14A0726,Ia5125,6,428.3,428.3
14A0727,Ma83608,6,400.75,400.75
14A0728,SD592,6,388.05,388.05
14A0729,Wh10113R,8,412.3,412.3
14A0730,P35,6,412.3,412.3
14A0731,Wuh09097i,7,400.75,400.75
